FearGreed_Value,FearGreed_Label,Date,time_until_update
49,Neutral,2023-05-12,
48,Neutral,2023-05-13,
48,Neutral,2023-05-14,
50,Neutral,2023-05-15,
54,Neutral,2023-05-16,
50,Neutral,2023-05-17,
51,Neutral,2023-05-18,
48,Neutral,2023-05-19,
48,Neutral,2023-05-20,
52,Neutral,2023-05-21,
49,Neutral,2023-05-22,
50,Neutral,2023-05-23,
50,Neutral,2023-05-24,
51,Neutral,2023-05-25,
49,Neutral,2023-05-26,
48,Neutral,2023-05-27,
50,Neutral,2023-05-28,
52,Neutral,2023-05-29,
51,Neutral,2023-05-30,
51,Neutral,2023-05-31,
52,Neutral,2023-06-01,
50,Neutral,2023-06-02,
53,Neutral,2023-06-03,
52,Neutral,2023-06-04,
53,Neutral,2023-06-05,
44,Fear,2023-06-06,
53,Neutral,2023-06-07,
50,Neutral,2023-06-08,
50,Neutral,2023-06-09,
49,Neutral,2023-06-10,
47,Neutral,2023-06-11,
47,Neutral,2023-06-12,
45,Fear,2023-06-13,
46,Fear,2023-06-14,
41,Fear,2023-06-15,
47,Neutral,2023-06-16,
47,Neutral,2023-06-17,
49,Neutral,2023-06-18,
47,Neutral,2023-06-19,
49,Neutral,2023-06-20,
59,Greed,2023-06-21,
65,Greed,2023-06-22,
65,Greed,2023-06-23,
62,Greed,2023-06-24,
64,Greed,2023-06-25,
55,Greed,2023-06-26,
59,Greed,2023-06-27,
62,Greed,2023-06-28,
54,Neutral,2023-06-29,
56,Greed,2023-06-30,
59,Greed,2023-07-01,
63,Greed,2023-07-02,
62,Greed,2023-07-03,
64,Greed,2023-07-04,
61,Greed,2023-07-05,
56,Greed,2023-07-06,
55,Greed,2023-07-07,
58,Greed,2023-07-08,
55,Greed,2023-07-09,
56,Greed,2023-07-10,
57,Greed,2023-07-11,
64,Greed,2023-07-12,
57,Greed,2023-07-13,
60,Greed,2023-07-14,
56,Greed,2023-07-15,
57,Greed,2023-07-16,
54,Neutral,2023-07-17,
56,Greed,2023-07-18,
50,Neutral,2023-07-19,
56,Greed,2023-07-20,
50,Neutral,2023-07-21,
52,Neutral,2023-07-22,
54,Neutral,2023-07-23,
55,Greed,2023-07-24,
50,Neutral,2023-07-25,
51,Neutral,2023-07-26,
51,Neutral,2023-07-27,
52,Neutral,2023-07-28,
52,Neutral,2023-07-29,
52,Neutral,2023-07-30,
50,Neutral,2023-07-31,
53,Neutral,2023-08-01,
53,Neutral,2023-08-02,
52,Neutral,2023-08-03,
54,Neutral,2023-08-04,
50,Neutral,2023-08-05,
49,Neutral,2023-08-06,
49,Neutral,2023-08-07,
54,Neutral,2023-08-08,
50,Neutral,2023-08-09,
53,Neutral,2023-08-10,
51,Neutral,2023-08-11,
54,Neutral,2023-08-12,
54,Neutral,2023-08-13,
50,Neutral,2023-08-14,
53,Neutral,2023-08-15,
52,Neutral,2023-08-16,
50,Neutral,2023-08-17,
37,Fear,2023-08-18,
39,Fear,2023-08-19,
37,Fear,2023-08-20,
38,Fear,2023-08-21,
37,Fear,2023-08-22,
37,Fear,2023-08-23,
41,Fear,2023-08-24,
39,Fear,2023-08-25,
38,Fear,2023-08-26,
38,Fear,2023-08-27,
39,Fear,2023-08-28,
39,Fear,2023-08-29,
49,Neutral,2023-08-30,
52,Neutral,2023-08-31,
40,Fear,2023-09-01,
39,Fear,2023-09-02,
40,Fear,2023-09-03,
40,Fear,2023-09-04,
40,Fear,2023-09-05,
42,Fear,2023-09-06,
41,Fear,2023-09-07,
46,Fear,2023-09-08,
41,Fear,2023-09-09,
40,Fear,2023-09-10,
40,Fear,2023-09-11,
30,Fear,2023-09-12,
41,Fear,2023-09-13,
45,Fear,2023-09-14,
45,Fear,2023-09-15,
43,Fear,2023-09-16,
46,Fear,2023-09-17,
46,Fear,2023-09-18,
46,Fear,2023-09-19,
47,Neutral,2023-09-20,
47,Neutral,2023-09-21,
43,Fear,2023-09-22,
47,Neutral,2023-09-23,
44,Fear,2023-09-24,
47,Neutral,2023-09-25,
46,Fear,2023-09-26,
44,Fear,2023-09-27,
46,Fear,2023-09-28,
48,Neutral,2023-09-29,
47,Neutral,2023-09-30,
48,Neutral,2023-10-01,
50,Neutral,2023-10-02,
50,Neutral,2023-10-03,
49,Neutral,2023-10-04,
48,Neutral,2023-10-05,
50,Neutral,2023-10-06,
49,Neutral,2023-10-07,
50,Neutral,2023-10-08,
50,Neutral,2023-10-09,
50,Neutral,2023-10-10,
47,Neutral,2023-10-11,
45,Fear,2023-10-12,
44,Fear,2023-10-13,
47,Neutral,2023-10-14,
45,Fear,2023-10-15,
47,Neutral,2023-10-16,
52,Neutral,2023-10-17,
50,Neutral,2023-10-18,
52,Neutral,2023-10-19,
53,Neutral,2023-10-20,
63,Greed,2023-10-21,
53,Neutral,2023-10-22,
53,Neutral,2023-10-23,
66,Greed,2023-10-24,
72,Greed,2023-10-25,
71,Greed,2023-10-26,
70,Greed,2023-10-27,
65,Greed,2023-10-28,
72,Greed,2023-10-29,
68,Greed,2023-10-30,
66,Greed,2023-10-31,
66,Greed,2023-11-01,
72,Greed,2023-11-02,
65,Greed,2023-11-03,
68,Greed,2023-11-04,
70,Greed,2023-11-05,
74,Greed,2023-11-06,
68,Greed,2023-11-07,
66,Greed,2023-11-08,
69,Greed,2023-11-09,
70,Greed,2023-11-10,
70,Greed,2023-11-11,
73,Greed,2023-11-12,
72,Greed,2023-11-13,
69,Greed,2023-11-14,
60,Greed,2023-11-15,
70,Greed,2023-11-16,
63,Greed,2023-11-17,
69,Greed,2023-11-18,
66,Greed,2023-11-19,
69,Greed,2023-11-20,
71,Greed,2023-11-21,
62,Greed,2023-11-22,
66,Greed,2023-11-23,
66,Greed,2023-11-24,
73,Greed,2023-11-25,
73,Greed,2023-11-26,
66,Greed,2023-11-27,
68,Greed,2023-11-28,
72,Greed,2023-11-29,
74,Greed,2023-11-30,
71,Greed,2023-12-01,
74,Greed,2023-12-02,
73,Greed,2023-12-03,
74,Greed,2023-12-04,
75,Greed,2023-12-05,
72,Greed,2023-12-06,
72,Greed,2023-12-07,
72,Greed,2023-12-08,
73,Greed,2023-12-09,
74,Greed,2023-12-10,
74,Greed,2023-12-11,
67,Greed,2023-12-12,
65,Greed,2023-12-13,
72,Greed,2023-12-14,
70,Greed,2023-12-15,
67,Greed,2023-12-16,
73,Greed,2023-12-17,
65,Greed,2023-12-18,
73,Greed,2023-12-19,
74,Greed,2023-12-20,
70,Greed,2023-12-21,
74,Greed,2023-12-22,
70,Greed,2023-12-23,
71,Greed,2023-12-24,
73,Greed,2023-12-25,
71,Greed,2023-12-26,
73,Greed,2023-12-27,
73,Greed,2023-12-28,
65,Greed,2023-12-29,
68,Greed,2023-12-30,
67,Greed,2023-12-31,
65,Greed,2024-01-01,
71,Greed,2024-01-02,
70,Greed,2024-01-03,
68,Greed,2024-01-04,
72,Greed,2024-01-05,
70,Greed,2024-01-06,
71,Greed,2024-01-07,
71,Greed,2024-01-08,
76,Extreme Greed,2024-01-09,
73,Greed,2024-01-10,
76,Extreme Greed,2024-01-11,
71,Greed,2024-01-12,
64,Greed,2024-01-13,
60,Greed,2024-01-14,
52,Neutral,2024-01-15,
64,Greed,2024-01-16,
60,Greed,2024-01-17,
63,Greed,2024-01-18,
51,Neutral,2024-01-19,
52,Neutral,2024-01-20,
56,Greed,2024-01-21,
55,Greed,2024-01-22,
50,Neutral,2024-01-23,
48,Neutral,2024-01-24,
52,Neutral,2024-01-25,
49,Neutral,2024-01-26,
55,Greed,2024-01-27,
54,Neutral,2024-01-28,
55,Greed,2024-01-29,
61,Greed,2024-01-30,
60,Greed,2024-01-31,
63,Greed,2024-02-01,
63,Greed,2024-02-02,
60,Greed,2024-02-03,
60,Greed,2024-02-04,
60,Greed,2024-02-05,
64,Greed,2024-02-06,
62,Greed,2024-02-07,
66,Greed,2024-02-08,
72,Greed,2024-02-09,
74,Greed,2024-02-10,
71,Greed,2024-02-11,
70,Greed,2024-02-12,
79,Extreme Greed,2024-02-13,
74,Greed,2024-02-14,
72,Greed,2024-02-15,
72,Greed,2024-02-16,
76,Extreme Greed,2024-02-17,
72,Greed,2024-02-18,
75,Greed,2024-02-19,
72,Greed,2024-02-20,
78,Extreme Greed,2024-02-21,
74,Greed,2024-02-22,
76,Extreme Greed,2024-02-23,
72,Greed,2024-02-24,
74,Greed,2024-02-25,
72,Greed,2024-02-26,
79,Extreme Greed,2024-02-27,
82,Extreme Greed,2024-02-28,
80,Extreme Greed,2024-02-29,
80,Extreme Greed,2024-03-01,
80,Extreme Greed,2024-03-02,
83,Extreme Greed,2024-03-03,
82,Extreme Greed,2024-03-04,
90,Extreme Greed,2024-03-05,
75,Greed,2024-03-06,
82,Extreme Greed,2024-03-07,
81,Extreme Greed,2024-03-08,
84,Extreme Greed,2024-03-09,
79,Extreme Greed,2024-03-10,
82,Extreme Greed,2024-03-11,
81,Extreme Greed,2024-03-12,
81,Extreme Greed,2024-03-13,
88,Extreme Greed,2024-03-14,
83,Extreme Greed,2024-03-15,
81,Extreme Greed,2024-03-16,
79,Extreme Greed,2024-03-17,
77,Extreme Greed,2024-03-18,
79,Extreme Greed,2024-03-19,
74,Greed,2024-03-20,
78,Extreme Greed,2024-03-21,
75,Greed,2024-03-22,
73,Greed,2024-03-23,
74,Greed,2024-03-24,
75,Greed,2024-03-25,
81,Extreme Greed,2024-03-26,
83,Extreme Greed,2024-03-27,
80,Extreme Greed,2024-03-28,
79,Extreme Greed,2024-03-29,
75,Greed,2024-03-30,
75,Greed,2024-03-31,
79,Extreme Greed,2024-04-01,
79,Extreme Greed,2024-04-02,
71,Greed,2024-04-03,
70,Greed,2024-04-04,
79,Extreme Greed,2024-04-05,
75,Greed,2024-04-06,
78,Extreme Greed,2024-04-07,
76,Extreme Greed,2024-04-08,
80,Extreme Greed,2024-04-09,
78,Extreme Greed,2024-04-10,
76,Extreme Greed,2024-04-11,
79,Extreme Greed,2024-04-12,
72,Greed,2024-04-13,
72,Greed,2024-04-14,
74,Greed,2024-04-15,
65,Greed,2024-04-16,
67,Greed,2024-04-17,
57,Greed,2024-04-18,
66,Greed,2024-04-19,
66,Greed,2024-04-20,
72,Greed,2024-04-21,
73,Greed,2024-04-22,
71,Greed,2024-04-23,
72,Greed,2024-04-24,
72,Greed,2024-04-25,
70,Greed,2024-04-26,
67,Greed,2024-04-27,
65,Greed,2024-04-28,
67,Greed,2024-04-29,
67,Greed,2024-04-30,
54,Neutral,2024-05-01,
43,Fear,2024-05-02,
48,Neutral,2024-05-03,
67,Greed,2024-05-04,
69,Greed,2024-05-05,
71,Greed,2024-05-06,
68,Greed,2024-05-07,
64,Greed,2024-05-08,
55,Greed,2024-05-09,
66,Greed,2024-05-10,
53,Neutral,2024-05-11,
56,Greed,2024-05-12,
57,Greed,2024-05-13,
66,Greed,2024-05-14,
64,Greed,2024-05-15,
70,Greed,2024-05-16,
74,Greed,2024-05-17,
73,Greed,2024-05-18,
72,Greed,2024-05-19,
70,Greed,2024-05-20,
76,Extreme Greed,2024-05-21,
76,Extreme Greed,2024-05-22,
76,Extreme Greed,2024-05-23,
74,Greed,2024-05-24,
76,Extreme Greed,2024-05-25,
75,Greed,2024-05-26,
74,Greed,2024-05-27,
72,Greed,2024-05-28,
72,Greed,2024-05-29,
73,Greed,2024-05-30,
73,Greed,2024-05-31,
72,Greed,2024-06-01,
73,Greed,2024-06-02,
73,Greed,2024-06-03,
73,Greed,2024-06-04,
75,Greed,2024-06-05,
78,Extreme Greed,2024-06-06,
77,Extreme Greed,2024-06-07,
72,Greed,2024-06-08,
75,Greed,2024-06-09,
72,Greed,2024-06-10,
74,Greed,2024-06-11,
72,Greed,2024-06-12,
70,Greed,2024-06-13,
74,Greed,2024-06-14,
74,Greed,2024-06-15,
71,Greed,2024-06-16,
71,Greed,2024-06-17,
74,Greed,2024-06-18,
64,Greed,2024-06-19,
60,Greed,2024-06-20,
63,Greed,2024-06-21,
53,Neutral,2024-06-22,
55,Greed,2024-06-23,
51,Neutral,2024-06-24,
30,Fear,2024-06-25,
46,Fear,2024-06-26,
40,Fear,2024-06-27,
47,Neutral,2024-06-28,
30,Fear,2024-06-29,
47,Neutral,2024-06-30,
53,Neutral,2024-07-01,
51,Neutral,2024-07-02,
50,Neutral,2024-07-03,
44,Fear,2024-07-04,
29,Fear,2024-07-05,
26,Fear,2024-07-06,
29,Fear,2024-07-07,
28,Fear,2024-07-08,
27,Fear,2024-07-09,
28,Fear,2024-07-10,
29,Fear,2024-07-11,
25,Extreme Fear,2024-07-12,
25,Extreme Fear,2024-07-13,
33,Fear,2024-07-14,
52,Neutral,2024-07-15,
65,Greed,2024-07-16,
69,Greed,2024-07-17,
61,Greed,2024-07-18,
60,Greed,2024-07-19,
74,Greed,2024-07-20,
74,Greed,2024-07-21,
70,Greed,2024-07-22,
71,Greed,2024-07-23,
69,Greed,2024-07-24,
68,Greed,2024-07-25,
68,Greed,2024-07-26,
72,Greed,2024-07-27,
71,Greed,2024-07-28,
74,Greed,2024-07-29,
67,Greed,2024-07-30,
61,Greed,2024-07-31,
52,Neutral,2024-08-01,
57,Greed,2024-08-02,
37,Fear,2024-08-03,
34,Fear,2024-08-04,
26,Fear,2024-08-05,
17,Extreme Fear,2024-08-06,
29,Fear,2024-08-07,
20,Extreme Fear,2024-08-08,
48,Neutral,2024-08-09,
40,Fear,2024-08-10,
39,Fear,2024-08-11,
25,Extreme Fear,2024-08-12,
31,Fear,2024-08-13,
30,Fear,2024-08-14,
29,Fear,2024-08-15,
27,Fear,2024-08-16,
25,Extreme Fear,2024-08-17,
31,Fear,2024-08-18,
28,Fear,2024-08-19,
30,Fear,2024-08-20,
26,Fear,2024-08-21,
39,Fear,2024-08-22,
34,Fear,2024-08-23,
56,Greed,2024-08-24,
54,Neutral,2024-08-25,
55,Greed,2024-08-26,
48,Neutral,2024-08-27,
30,Fear,2024-08-28,
29,Fear,2024-08-29,
34,Fear,2024-08-30,
29,Fear,2024-08-31,
26,Fear,2024-09-01,
26,Fear,2024-09-02,
26,Fear,2024-09-03,
27,Fear,2024-09-04,
29,Fear,2024-09-05,
22,Extreme Fear,2024-09-06,
23,Extreme Fear,2024-09-07,
29,Fear,2024-09-08,
26,Fear,2024-09-09,
33,Fear,2024-09-10,
37,Fear,2024-09-11,
31,Fear,2024-09-12,
32,Fear,2024-09-13,
50,Neutral,2024-09-14,
51,Neutral,2024-09-15,
39,Fear,2024-09-16,
33,Fear,2024-09-17,
45,Fear,2024-09-18,
49,Neutral,2024-09-19,
54,Neutral,2024-09-20,
54,Neutral,2024-09-21,
52,Neutral,2024-09-22,
50,Neutral,2024-09-23,
54,Neutral,2024-09-24,
59,Greed,2024-09-25,
50,Neutral,2024-09-26,
61,Greed,2024-09-27,
64,Greed,2024-09-28,
63,Greed,2024-09-29,
61,Greed,2024-09-30,
50,Neutral,2024-10-01,
42,Fear,2024-10-02,
37,Fear,2024-10-03,
41,Fear,2024-10-04,
49,Neutral,2024-10-05,
50,Neutral,2024-10-06,
50,Neutral,2024-10-07,
49,Neutral,2024-10-08,
49,Neutral,2024-10-09,
39,Fear,2024-10-10,
32,Fear,2024-10-11,
49,Neutral,2024-10-12,
50,Neutral,2024-10-13,
48,Neutral,2024-10-14,
65,Greed,2024-10-15,
73,Greed,2024-10-16,
71,Greed,2024-10-17,
73,Greed,2024-10-18,
72,Greed,2024-10-19,
73,Greed,2024-10-20,
72,Greed,2024-10-21,
70,Greed,2024-10-22,
71,Greed,2024-10-23,
69,Greed,2024-10-24,
72,Greed,2024-10-25,
74,Greed,2024-10-27,
72,Greed,2024-10-28,
72,Greed,2024-10-29,
77,Extreme Greed,2024-10-30,
77,Extreme Greed,2024-10-31,
75,Greed,2024-11-01,
72,Greed,2024-11-02,
74,Greed,2024-11-03,
70,Greed,2024-11-04,
70,Greed,2024-11-05,
70,Greed,2024-11-06,
77,Extreme Greed,2024-11-07,
75,Greed,2024-11-08,
75,Greed,2024-11-09,
78,Extreme Greed,2024-11-10,
76,Extreme Greed,2024-11-11,
80,Extreme Greed,2024-11-12,
84,Extreme Greed,2024-11-13,
88,Extreme Greed,2024-11-14,
80,Extreme Greed,2024-11-15,
86,Extreme Greed,2024-11-16,
90,Extreme Greed,2024-11-17,
83,Extreme Greed,2024-11-18,
90,Extreme Greed,2024-11-19,
83,Extreme Greed,2024-11-20,
82,Extreme Greed,2024-11-21,
94,Extreme Greed,2024-11-22,
93,Extreme Greed,2024-11-23,
80,Extreme Greed,2024-11-24,
82,Extreme Greed,2024-11-25,
79,Extreme Greed,2024-11-26,
75,Greed,2024-11-27,
77,Extreme Greed,2024-11-28,
78,Extreme Greed,2024-11-29,
84,Extreme Greed,2024-11-30,
81,Extreme Greed,2024-12-01,
80,Extreme Greed,2024-12-02,
76,Extreme Greed,2024-12-03,
78,Extreme Greed,2024-12-04,
84,Extreme Greed,2024-12-05,
72,Greed,2024-12-06,
75,Greed,2024-12-07,
79,Extreme Greed,2024-12-08,
78,Extreme Greed,2024-12-09,
78,Extreme Greed,2024-12-10,
74,Greed,2024-12-11,
83,Extreme Greed,2024-12-12,
76,Extreme Greed,2024-12-13,
83,Extreme Greed,2024-12-14,
80,Extreme Greed,2024-12-15,
83,Extreme Greed,2024-12-16,
87,Extreme Greed,2024-12-17,
81,Extreme Greed,2024-12-18,
75,Greed,2024-12-19,
74,Greed,2024-12-20,
73,Greed,2024-12-21,
73,Greed,2024-12-22,
70,Greed,2024-12-23,
73,Greed,2024-12-24,
73,Greed,2024-12-25,
79,Extreme Greed,2024-12-26,
74,Greed,2024-12-27,
72,Greed,2024-12-28,
73,Greed,2024-12-29,
65,Greed,2024-12-30,
64,Greed,2024-12-31,
66,Greed,2025-01-01,
70,Greed,2025-01-02,
74,Greed,2025-01-03,
73,Greed,2025-01-04,
72,Greed,2025-01-05,
76,Extreme Greed,2025-01-06,
78,Extreme Greed,2025-01-07,
70,Greed,2025-01-08,
69,Greed,2025-01-09,
50,Neutral,2025-01-10,
69,Greed,2025-01-11,
62,Greed,2025-01-12,
61,Greed,2025-01-13,
63,Greed,2025-01-14,
70,Greed,2025-01-15,
75,Greed,2025-01-16,
75,Greed,2025-01-17,
77,Extreme Greed,2025-01-18,
77,Extreme Greed,2025-01-19,
76,Extreme Greed,2025-01-20,
76,Extreme Greed,2025-01-21,
84,Extreme Greed,2025-01-22,
75,Greed,2025-01-23,
75,Greed,2025-01-24,
75,Greed,2025-01-25,
73,Greed,2025-01-26,
71,Greed,2025-01-27,
72,Greed,2025-01-28,
72,Greed,2025-01-29,
70,Greed,2025-01-30,
76,Extreme Greed,2025-01-31,
68,Greed,2025-02-01,
60,Greed,2025-02-02,
44,Fear,2025-02-03,
72,Greed,2025-02-04,
54,Neutral,2025-02-05,
49,Neutral,2025-02-06,
44,Fear,2025-02-07,
44,Fear,2025-02-08,
46,Fear,2025-02-09,
43,Fear,2025-02-10,
47,Neutral,2025-02-11,
46,Fear,2025-02-12,
50,Neutral,2025-02-13,
48,Neutral,2025-02-14,
50,Neutral,2025-02-15,
54,Neutral,2025-02-16,
51,Neutral,2025-02-17,
47,Neutral,2025-02-18,
44,Fear,2025-02-19,
49,Neutral,2025-02-20,
55,Greed,2025-02-21,
49,Neutral,2025-02-22,
50,Neutral,2025-02-23,
49,Neutral,2025-02-24,
25,Extreme Fear,2025-02-25,
21,Extreme Fear,2025-02-26,
10,Extreme Fear,2025-02-27,
16,Extreme Fear,2025-02-28,
20,Extreme Fear,2025-03-01,
26,Fear,2025-03-02,
33,Fear,2025-03-03,
15,Extreme Fear,2025-03-04,
20,Extreme Fear,2025-03-05,
25,Extreme Fear,2025-03-06,
34,Fear,2025-03-07,
28,Fear,2025-03-08,
27,Fear,2025-03-09,
20,Extreme Fear,2025-03-10,
24,Extreme Fear,2025-03-11,
34,Fear,2025-03-12,
45,Fear,2025-03-13,
27,Fear,2025-03-14,
46,Fear,2025-03-15,
30,Fear,2025-03-16,
32,Fear,2025-03-17,
34,Fear,2025-03-18,
32,Fear,2025-03-19,
49,Neutral,2025-03-20,
31,Fear,2025-03-21,
32,Fear,2025-03-22,
30,Fear,2025-03-23,
45,Fear,2025-03-24,
46,Fear,2025-03-25,
47,Neutral,2025-03-26,
40,Fear,2025-03-27,
44,Fear,2025-03-28,
26,Fear,2025-03-29,
32,Fear,2025-03-30,
34,Fear,2025-03-31,
34,Fear,2025-04-01,
44,Fear,2025-04-02,
25,Extreme Fear,2025-04-03,
28,Fear,2025-04-04,
30,Fear,2025-04-05,
34,Fear,2025-04-06,
23,Extreme Fear,2025-04-07,
24,Extreme Fear,2025-04-08,
18,Extreme Fear,2025-04-09,
39,Fear,2025-04-10,
25,Extreme Fear,2025-04-11,
43,Fear,2025-04-12,
45,Fear,2025-04-13,
31,Fear,2025-04-14,
38,Fear,2025-04-15,
29,Fear,2025-04-16,
30,Fear,2025-04-17,
33,Fear,2025-04-18,
32,Fear,2025-04-19,
37,Fear,2025-04-20,
39,Fear,2025-04-21,
47,Neutral,2025-04-22,
72,Greed,2025-04-23,
63,Greed,2025-04-24,
60,Greed,2025-04-25,
65,Greed,2025-04-26,
61,Greed,2025-04-27,
54,Neutral,2025-04-28,
60,Greed,2025-04-29,
56,Greed,2025-04-30,
53,Neutral,2025-05-01,
67,Greed,2025-05-02,
65,Greed,2025-05-03,
64,Greed,2025-05-04,
52,Neutral,2025-05-05,
59,Greed,2025-05-06,
67,Greed,2025-05-07,
65,Greed,2025-05-08,
73,Greed,2025-05-09,
70,Greed,2025-05-10,
70,Greed,2025-05-11,
70,Greed,2025-05-12,
70,Greed,2025-05-13,
73,Greed,2025-05-14,
70,Greed,2025-05-15,
71,Greed,2025-05-16,
74,Greed,2025-05-17,
74,Greed,2025-05-18,
74,Greed,2025-05-19,
71,Greed,2025-05-20,
70,Greed,2025-05-21,
72,Greed,2025-05-22,
78,Extreme Greed,2025-05-23,
66,Greed,2025-05-24,
74,Greed,2025-05-25,
73,Greed,2025-05-26,
74,Greed,2025-05-27,
71,Greed,2025-05-28,
74,Greed,2025-05-29,
60,Greed,2025-05-30,
50,Neutral,2025-05-31,
56,Greed,2025-06-01,
64,Greed,2025-06-02,
64,Greed,2025-06-03,
62,Greed,2025-06-04,
57,Greed,2025-06-05,
45,Fear,2025-06-06,
52,Neutral,2025-06-07,
62,Greed,2025-06-08,
62,Greed,2025-06-09,
71,Greed,2025-06-10,
72,Greed,2025-06-11,
71,Greed,2025-06-12,
61,Greed,2025-06-13,
63,Greed,2025-06-14,
60,Greed,2025-06-15,
61,Greed,2025-06-16,
68,Greed,2025-06-17,
52,Neutral,2025-06-18,
57,Greed,2025-06-19,
54,Neutral,2025-06-20,
49,Neutral,2025-06-21,
42,Fear,2025-06-22,
47,Neutral,2025-06-23,
65,Greed,2025-06-24,
66,Greed,2025-06-25,
74,Greed,2025-06-26,
65,Greed,2025-06-27,
65,Greed,2025-06-28,
68,Greed,2025-06-29,
66,Greed,2025-06-30,
64,Greed,2025-07-01,
63,Greed,2025-07-02,
73,Greed,2025-07-03,
73,Greed,2025-07-04,
67,Greed,2025-07-05,
66,Greed,2025-07-06,
73,Greed,2025-07-07,
65,Greed,2025-07-08,
66,Greed,2025-07-09,
71,Greed,2025-07-10,
71,Greed,2025-07-11,
79,Extreme Greed,2025-07-12,
74,Greed,2025-07-13,
74,Greed,2025-07-14,
73,Greed,2025-07-15,
70,Greed,2025-07-16,
74,Greed,2025-07-17,
73,Greed,2025-07-18,
74,Greed,2025-07-19,
72,Greed,2025-07-20,
71,Greed,2025-07-21,
72,Greed,2025-07-22,
74,Greed,2025-07-23,
71,Greed,2025-07-24,
70,Greed,2025-07-25,
72,Greed,2025-07-26,
73,Greed,2025-07-27,
75,Greed,2025-07-28,
73,Greed,2025-07-29,
74,Greed,2025-07-30,
72,Greed,2025-07-31,
65,Greed,2025-08-01,
55,Greed,2025-08-02,
53,Neutral,2025-08-03,
64,Greed,2025-08-04,
60,Greed,2025-08-05,
54,Neutral,2025-08-06,
62,Greed,2025-08-07,
74,Greed,2025-08-08,
67,Greed,2025-08-09,
69,Greed,2025-08-10,
70,Greed,2025-08-11,
68,Greed,2025-08-12,
73,Greed,2025-08-13,
75,Greed,2025-08-14,
60,Greed,2025-08-15,
56,Greed,2025-08-16,
64,Greed,2025-08-17,
60,Greed,2025-08-18,
56,Greed,2025-08-19,
44,Fear,2025-08-20,
50,Neutral,2025-08-21,
50,Neutral,2025-08-22,
60,Greed,2025-08-23,
53,Neutral,2025-08-24,
47,Neutral,2025-08-25,
48,Neutral,2025-08-26,
51,Neutral,2025-08-27,
48,Neutral,2025-08-28,
50,Neutral,2025-08-29,
39,Fear,2025-08-30,
48,Neutral,2025-08-31,
46,Fear,2025-09-01,
49,Neutral,2025-09-02,
55,Greed,2025-09-03,
51,Neutral,2025-09-04,
48,Neutral,2025-09-05,
48,Neutral,2025-09-06,
44,Fear,2025-09-07,
51,Neutral,2025-09-08,
